,mechanism,type,rate,nrow,ncol,total_memory_MB
6363,ECAR,AddDelta,0.75,100000,10,19.324
6364,ENAR,MissingValueNumeric,0.25,100,4,0.016734000000000002
6365,EAR,MissingValueNumeric,0.25,1000,2,0.228852
6366,EAR,MissingValueNumeric,0.75,100,10,0.050734
6367,EAR,MissingValueNumeric,0.9,1000000,2,341.388
6368,ENAR,MissingValueNumeric,0.25,100000,8,21.459
6369,ECAR,MissingValueNumeric,0.5,10000,4,1.202
6370,EAR,MissingValueNumeric,0.25,100000,10,41.078
6371,ECAR,MissingValueNumeric,0.1,1000000,8,124.584
6372,EAR,MissingValueNumeric,0.1,10000,4,2.45
6373,EAR,MissingValueNumeric,0.75,1000000,10,547.872
6374,ECAR,MissingValueNumeric,0.5,1000000,2,93.113
6375,EAR,AddDelta,0.9,100,10,0.053336
6376,EAR,MissingValueNumeric,0.5,100,8,0.042664
6377,ENAR,AddDelta,0.25,1000000,2,183.933
6378,ECAR,MissingValueNumeric,0.75,100000,4,12.553
6379,ECAR,AddDelta,0.75,10000,10,2.093
6380,ENAR,MissingValueNumeric,0.25,100000,4,18.026
6381,ECAR,AddDelta,0.1,1000,2,0.086422
6382,ECAR,MissingValueNumeric,0.9,1000,6,0.16906200000000002
6383,EAR,AddDelta,0.1,10000,4,2.612
6384,ENAR,AddDelta,0.5,100,4,0.019414
6385,ECAR,MissingValueNumeric,0.25,10000,2,0.8692770000000001
6386,ECAR,MissingValueNumeric,0.75,100000,2,10.835
6387,ENAR,AddDelta,0.5,1000000,10,287.063
6388,ENAR,AddDelta,0.5,1000,2,0.22661699999999999
6389,ENAR,MissingValueNumeric,0.9,100000,6,28.244
6390,ENAR,MissingValueNumeric,0.75,100,4,0.017719000000000002
6391,ECAR,MissingValueNumeric,0.5,100000,4,11.24
6392,ENAR,AddDelta,0.25,10000,10,2.586
6393,ENAR,AddDelta,0.9,100,6,0.020602
6394,EAR,MissingValueNumeric,0.75,100000,4,35.306
6395,ECAR,MissingValueNumeric,0.1,1000000,2,73.087
6396,ENAR,MissingValueNumeric,0.9,1000000,6,291.767
6397,ECAR,AddDelta,0.75,100,6,0.011797
6398,EAR,AddDelta,0.75,100,6,0.040015999999999996
6399,EAR,MissingValueNumeric,0.5,1000000,8,427.921
6400,ECAR,AddDelta,0.25,100000,10,16.702
6401,ENAR,AddDelta,0.75,10000,2,2.591
6402,ECAR,MissingValueNumeric,0.25,1000,4,0.103938
6403,EAR,MissingValueNumeric,0.1,100000,4,23.325
6404,ENAR,MissingValueNumeric,0.75,100,8,0.021625
6405,ENAR,AddDelta,0.9,1000000,2,274.649
6406,ECAR,AddDelta,0.9,100000,2,13.245
6407,ECAR,AddDelta,0.1,1000000,8,140.798
6408,ENAR,AddDelta,0.25,100,2,0.016461
6409,ECAR,AddDelta,0.25,1000,4,0.121688
6410,EAR,AddDelta,0.25,100,8,0.042
6411,ECAR,MissingValueNumeric,0.25,100,6,0.010702999999999999
6412,ECAR,MissingValueNumeric,0.75,100,2,0.0075780000000000005
6413,ENAR,AddDelta,0.1,1000000,8,213.123
6414,EAR,MissingValueNumeric,0.1,100000,10,38.088
6415,ECAR,MissingValueNumeric,0.5,100,10,0.012827999999999999
6416,ENAR,MissingValueNumeric,0.5,10000,4,2.254
6417,ENAR,AddDelta,0.5,1000,6,0.26177300000000003
6418,EAR,AddDelta,0.75,1000,6,0.44097699999999995
6419,ECAR,AddDelta,0.5,1000,6,0.15590600000000002
6420,EAR,MissingValueNumeric,0.5,1000,10,0.492711
6421,ENAR,AddDelta,0.1,1000,10,0.23599199999999998
6422,ECAR,MissingValueNumeric,0.5,100,10,0.012827999999999999
6423,ENAR,MissingValueNumeric,0.5,10000,2,2.082
6424,ECAR,MissingValueNumeric,0.5,1000000,10,161.779
6425,ENAR,AddDelta,0.1,100000,8,21.351
6426,ECAR,MissingValueNumeric,0.1,1000000,4,90.252
6427,EAR,MissingValueNumeric,0.75,10000,6,4.203
6428,ENAR,MissingValueNumeric,0.1,10000,2,1.513
6429,EAR,MissingValueNumeric,0.25,10000,10,4.274
6430,EAR,MissingValueNumeric,0.25,1000,10,0.43997699999999995
6431,ENAR,MissingValueNumeric,0.75,1000,2,0.241148
6432,ECAR,MissingValueNumeric,0.5,100,8,0.011266
6433,EAR,MissingValueNumeric,0.5,100000,2,23.935
6434,ENAR,MissingValueNumeric,0.1,100000,2,14.579
6435,EAR,AddDelta,0.9,1000000,4,419.018
6436,ENAR,MissingValueNumeric,0.25,100,6,0.018297
6437,EAR,MissingValueNumeric,0.5,100,4,0.030852
6438,ECAR,MissingValueNumeric,0.75,100000,8,15.985
6439,ENAR,AddDelta,0.5,10000,10,2.932
6440,EAR,AddDelta,0.5,10000,2,2.781
6441,EAR,MissingValueNumeric,0.5,100,4,0.030852
6442,EAR,MissingValueNumeric,0.9,1000000,10,587.056
6443,ENAR,AddDelta,0.75,100,2,0.01725
6444,EAR,AddDelta,0.9,100000,6,47.372
6445,EAR,MissingValueNumeric,0.25,10000,2,2.214
6446,EAR,MissingValueNumeric,0.25,1000000,2,215.796
6447,ECAR,MissingValueNumeric,0.1,1000,2,0.069688
6448,EAR,AddDelta,0.25,1000,10,0.456695
6449,EAR,MissingValueNumeric,0.25,1000,6,0.334414
6450,ECAR,MissingValueNumeric,0.25,100,6,0.009703
6451,EAR,MissingValueNumeric,0.5,1000,2,0.265961
6452,ENAR,MissingValueNumeric,0.9,1000000,2,257.435
6453,EAR,AddDelta,0.5,100,4,0.031945
6454,EAR,AddDelta,0.75,1000,6,0.44097699999999995
6455,ENAR,AddDelta,0.9,1000,4,0.295195
6456,ECAR,AddDelta,0.25,1000,10,0.174391
6457,ENAR,AddDelta,0.9,100000,6,29.867
6458,EAR,MissingValueNumeric,0.75,100000,8,47.131
6459,ENAR,MissingValueNumeric,0.1,10000,8,2.029
6460,EAR,AddDelta,0.1,100,2,0.025335999999999997
6461,ECAR,MissingValueNumeric,0.1,10000,2,0.7551559999999999
6462,ENAR,MissingValueNumeric,0.75,100,8,0.021625
6463,ECAR,MissingValueNumeric,0.75,10000,8,1.758
6464,EAR,AddDelta,0.5,1000000,8,444.135
6465,ENAR,AddDelta,0.5,100,10,0.022711
6466,EAR,MissingValueNumeric,0.1,100000,8,33.167
6467,ENAR,AddDelta,0.9,1000000,2,274.648
6468,EAR,MissingValueNumeric,0.5,1000,4,0.32264800000000005
6469,ECAR,AddDelta,0.25,1000,4,0.120688
6470,EAR,MissingValueNumeric,0.5,10000,4,3.17
6471,EAR,MissingValueNumeric,0.75,1000,2,0.30307
6472,ECAR,AddDelta,0.1,100000,10,15.914
6473,ENAR,MissingValueNumeric,0.5,100,2,0.015367
6474,ENAR,MissingValueNumeric,0.75,100000,6,26.513
6475,ENAR,MissingValueNumeric,0.75,1000,6,0.276305
6476,ECAR,MissingValueNumeric,0.5,1000,8,0.156766
6477,ENAR,AddDelta,0.5,100,6,0.019586
6478,ECAR,AddDelta,0.9,1000000,6,163.877
6479,EAR,MissingValueNumeric,0.1,10000,2,1.956
6480,ENAR,AddDelta,0.9,1000,4,0.294195
6481,EAR,MissingValueNumeric,0.25,10000,6,3.244
6482,ECAR,MissingValueNumeric,0.1,1000,4,0.08726600000000001
6483,EAR,AddDelta,0.5,100000,8,42.152
6484,ECAR,AddDelta,0.25,100,2,0.0076879999999999995
6485,ECAR,MissingValueNumeric,0.75,100,6,0.010702999999999999
6486,ECAR,AddDelta,0.75,1000000,6,156.297
6487,ENAR,MissingValueNumeric,0.75,1000,2,0.241148
6488,EAR,AddDelta,0.75,1000,10,0.562164
6489,EAR,AddDelta,0.5,1000000,2,278.195
6490,EAR,AddDelta,0.25,1000,4,0.29835199999999995
6491,ENAR,AddDelta,0.1,10000,10,2.363
6492,EAR,MissingValueNumeric,0.25,1000000,8,368.291
6493,ENAR,MissingValueNumeric,0.1,100000,10,21.445
6494,ENAR,MissingValueNumeric,0.75,10000,8,2.943
6495,ENAR,MissingValueNumeric,0.9,10000,10,3.305
6496,ENAR,MissingValueNumeric,0.75,100,4,0.017719000000000002
6497,ENAR,AddDelta,0.1,1000000,10,230.29
6498,EAR,AddDelta,0.1,100,4,0.03007
6499,ENAR,MissingValueNumeric,0.1,100000,6,18.012
6500,EAR,MissingValueNumeric,0.25,100000,10,41.078
6501,ENAR,MissingValueNumeric,0.25,1000000,10,235.384
6502,ENAR,MissingValueNumeric,0.75,100000,2,23.079
6503,ENAR,MissingValueNumeric,0.9,100000,10,31.677
6504,EAR,AddDelta,0.1,1000000,8,348.896
6505,EAR,MissingValueNumeric,0.75,100000,10,53.043
6506,ENAR,AddDelta,0.1,1000000,10,230.289
6507,ENAR,AddDelta,0.25,100,2,0.016461
6508,EAR,AddDelta,0.9,100000,6,47.372
6509,ENAR,MissingValueNumeric,0.9,100,6,0.019507999999999998
6510,ENAR,MissingValueNumeric,0.9,100,8,0.021852
6511,ENAR,AddDelta,0.75,100,10,0.0235
6512,EAR,AddDelta,0.1,1000,4,0.262805
6513,ECAR,AddDelta,0.9,100,10,0.014922000000000001
6514,EAR,MissingValueNumeric,0.5,10000,6,3.724
6515,ENAR,MissingValueNumeric,0.1,100000,2,14.579
6516,ECAR,AddDelta,0.9,100000,8,18.394
6517,ECAR,MissingValueNumeric,0.25,1000,8,0.139094
6518,ENAR,MissingValueNumeric,0.9,1000,8,0.312633
6519,ECAR,AddDelta,0.25,1000000,10,165.833
6520,ECAR,AddDelta,0.75,1000000,4,139.129
6521,ENAR,MissingValueNumeric,0.9,100,10,0.022633
6522,ECAR,AddDelta,0.9,100000,10,20.111
6523,EAR,MissingValueNumeric,0.9,1000000,8,525.638
6524,EAR,AddDelta,0.1,1000,2,0.212367
6525,ECAR,AddDelta,0.1,100000,4,10.765
6526,EAR,MissingValueNumeric,0.25,1000,10,0.43997699999999995
6527,EAR,AddDelta,0.5,100,10,0.048492
6528,EAR,AddDelta,0.9,10000,6,4.637
6529,ECAR,MissingValueNumeric,0.5,100,2,0.0065780000000000005
6530,EAR,MissingValueNumeric,0.5,100000,10,46.061
6531,EAR,AddDelta,0.9,100000,6,47.372
6532,EAR,AddDelta,0.5,1000,4,0.33936700000000003
6533,ECAR,AddDelta,0.1,10000,10,1.586
6534,ECAR,MissingValueNumeric,0.1,1000000,8,124.585
6535,EAR,AddDelta,0.5,100,4,0.032945
6536,ECAR,MissingValueNumeric,0.75,1000000,4,122.916
6537,ENAR,AddDelta,0.25,1000000,8,235.432
6538,EAR,MissingValueNumeric,0.25,100,4,0.029094000000000002
6539,ENAR,MissingValueNumeric,0.5,10000,10,2.769
6540,EAR,MissingValueNumeric,0.9,1000000,10,587.054
6541,ECAR,AddDelta,0.75,10000,10,2.094
6542,EAR,AddDelta,0.25,1000000,6,333.006
6543,ECAR,MissingValueNumeric,0.75,1000000,4,122.916
6544,ENAR,MissingValueNumeric,0.9,100000,2,24.81
6545,ENAR,MissingValueNumeric,0.75,1000,10,0.311461
6546,EAR,AddDelta,0.75,1000,2,0.319789
6547,ENAR,MissingValueNumeric,0.1,1000,8,0.20169499999999999
6548,EAR,MissingValueNumeric,0.1,100000,10,38.088
6549,ECAR,MissingValueNumeric,0.25,1000,8,0.139094
6550,ECAR,MissingValueNumeric,0.5,100,6,0.009703
6551,ENAR,AddDelta,0.75,1000000,8,305.553
6552,EAR,AddDelta,0.1,1000000,8,348.895
6553,ENAR,MissingValueNumeric,0.9,10000,8,3.134
6554,ENAR,MissingValueNumeric,0.75,10000,6,2.771
6555,EAR,AddDelta,0.75,1000,2,0.319789
6556,ECAR,MissingValueNumeric,0.1,1000,2,0.069688
6557,ENAR,AddDelta,0.75,100,2,0.01825
6558,ENAR,MissingValueNumeric,0.75,10000,2,2.428
6559,ENAR,AddDelta,0.25,10000,8,2.415
6560,ENAR,MissingValueNumeric,0.75,10000,2,2.428
6561,ENAR,MissingValueNumeric,0.75,1000,8,0.293883
6562,EAR,MissingValueNumeric,0.5,100000,6,34.998
6563,ENAR,AddDelta,0.5,10000,8,2.76
6564,EAR,MissingValueNumeric,0.9,100000,8,51.892
6565,EAR,AddDelta,0.75,100000,4,36.927
6566,EAR,MissingValueNumeric,0.25,1000000,10,419.789
6567,ENAR,MissingValueNumeric,0.25,100000,2,16.31
6568,EAR,AddDelta,0.25,1000000,4,281.507
6569,ENAR,AddDelta,0.75,100000,4,26.418
6570,ECAR,MissingValueNumeric,0.9,100000,10,18.488
6571,ECAR,MissingValueNumeric,0.25,100000,6,11.646
6572,EAR,AddDelta,0.9,10000,8,5.251
6573,EAR,MissingValueNumeric,0.1,100000,10,38.088
6574,ENAR,MissingValueNumeric,0.75,100000,2,23.079
6575,ENAR,MissingValueNumeric,0.1,10000,2,1.513
6576,EAR,AddDelta,0.5,100000,2,25.557
6577,ECAR,MissingValueNumeric,0.1,10000,6,1.08
6578,EAR,AddDelta,0.25,100,6,0.036094
6579,EAR,AddDelta,0.1,1000,4,0.262805
6580,ECAR,AddDelta,0.9,1000,4,0.16823400000000002
6581,ECAR,MissingValueNumeric,0.9,100000,2,11.622
6582,ENAR,AddDelta,0.25,10000,2,1.9
6583,ENAR,AddDelta,0.5,1000,2,0.22661699999999999
6584,ENAR,MissingValueNumeric,0.9,100000,8,29.96
6585,EAR,MissingValueNumeric,0.1,100,4,0.028977
6586,EAR,AddDelta,0.5,100,10,0.049491999999999994
6587,EAR,MissingValueNumeric,0.75,100000,2,29.392
6588,ENAR,MissingValueNumeric,0.25,100,8,0.020641
6589,ENAR,AddDelta,0.9,10000,6,3.126
6590,ECAR,AddDelta,0.75,1000000,10,190.627
6591,EAR,AddDelta,0.1,100,2,0.025335999999999997
6592,ENAR,AddDelta,0.9,100000,4,28.149
6593,EAR,MissingValueNumeric,0.1,100,8,0.039227
6594,ECAR,AddDelta,0.75,10000,2,1.406
6595,ENAR,MissingValueNumeric,0.5,1000,8,0.262633
6596,ENAR,MissingValueNumeric,0.75,1000000,6,271.173
6597,ECAR,AddDelta,0.1,100000,4,10.766
6598,ENAR,MissingValueNumeric,0.75,100,4,0.017719000000000002
6599,EAR,AddDelta,0.1,100,8,0.04032
6600,ECAR,AddDelta,0.9,1000,6,0.186781
6601,ENAR,MissingValueNumeric,0.9,100,8,0.021852
6602,ECAR,MissingValueNumeric,0.75,100,2,0.0075780000000000005
6603,ENAR,AddDelta,0.9,100000,8,31.582
6604,ENAR,AddDelta,0.75,1000000,6,288.387
6605,ENAR,MissingValueNumeric,0.9,100000,2,24.81
6606,ENAR,MissingValueNumeric,0.9,100000,6,28.243
6607,ENAR,MissingValueNumeric,0.25,100,2,0.015367
6608,EAR,MissingValueNumeric,0.5,100000,8,40.529
6609,ENAR,MissingValueNumeric,0.25,100000,10,23.177
6610,ECAR,MissingValueNumeric,0.75,1000000,8,157.248
6611,ENAR,AddDelta,0.9,100000,4,28.15
6612,EAR,AddDelta,0.25,1000,8,0.403914
6613,ECAR,MissingValueNumeric,0.9,1000000,10,181.996
6614,ENAR,AddDelta,0.5,1000,2,0.22661699999999999
6615,ENAR,AddDelta,0.5,10000,2,2.246
6616,ENAR,AddDelta,0.75,100,6,0.021523
6617,EAR,MissingValueNumeric,0.1,1000,10,0.39839800000000003
6618,EAR,AddDelta,0.1,100,10,0.044586
6619,ENAR,AddDelta,0.25,1000000,10,252.598
6620,ENAR,AddDelta,0.75,10000,4,2.763
6621,ENAR,MissingValueNumeric,0.75,1000000,4,254.007
6622,ENAR,AddDelta,0.1,10000,6,2.019
6623,ENAR,MissingValueNumeric,0.9,10000,4,2.79
6624,EAR,MissingValueNumeric,0.25,1000000,2,215.795
6625,EAR,MissingValueNumeric,0.9,1000000,10,587.055
6626,ENAR,AddDelta,0.5,1000,2,0.22661699999999999
6627,EAR,MissingValueNumeric,0.9,1000,4,0.38827300000000003
6628,ENAR,MissingValueNumeric,0.75,1000,4,0.258727
6629,ECAR,MissingValueNumeric,0.25,1000000,8,132.452
6630,ECAR,AddDelta,0.75,100000,2,12.459
6631,ENAR,MissingValueNumeric,0.9,1000000,4,274.601
6632,ENAR,MissingValueNumeric,0.1,1000,10,0.220273
6633,EAR,AddDelta,0.25,100000,4,27.251
6634,EAR,MissingValueNumeric,0.5,100,4,0.031852
6635,ECAR,AddDelta,0.25,10000,6,1.355
6636,ENAR,AddDelta,0.5,10000,6,2.589
6637,EAR,AddDelta,0.5,1000,4,0.33936700000000003
6638,ECAR,AddDelta,0.9,100000,8,18.394
6639,ECAR,AddDelta,0.9,100000,8,18.394
6640,ECAR,AddDelta,0.75,1000,2,0.134438
6641,EAR,AddDelta,0.1,1000000,2,201.267
6642,ECAR,MissingValueNumeric,0.1,10000,10,1.423
6643,ENAR,MissingValueNumeric,0.75,100000,10,29.947
6644,ENAR,AddDelta,0.1,1000,4,0.184258
6645,ECAR,AddDelta,0.25,100,2,0.0076879999999999995
6646,ENAR,MissingValueNumeric,0.75,10000,6,2.771
6647,ECAR,AddDelta,0.5,10000,2,1.194
6648,ENAR,AddDelta,0.25,1000,2,0.19536699999999999
6649,EAR,AddDelta,0.5,100,6,0.037461
6650,ECAR,MissingValueNumeric,0.75,100,10,0.013828
6651,ENAR,AddDelta,0.25,10000,2,1.9
6652,ENAR,AddDelta,0.9,100,6,0.021602
6653,EAR,AddDelta,0.25,1000000,2,230.009
6654,ECAR,MissingValueNumeric,0.75,10000,4,1.415
6655,ECAR,AddDelta,0.75,100,8,0.013359
6656,EAR,MissingValueNumeric,0.75,1000,8,0.48485199999999995
6657,EAR,AddDelta,0.9,1000000,2,357.601
6658,ENAR,AddDelta,0.5,100000,10,27.683
6659,EAR,MissingValueNumeric,0.25,1000000,8,368.291
6660,ECAR,MissingValueNumeric,0.25,10000,2,0.8692770000000001
6661,ENAR,AddDelta,0.25,100,10,0.022515999999999998
6662,ECAR,MissingValueNumeric,0.75,100000,4,12.552
6663,EAR,AddDelta,0.5,100000,6,36.62
6664,ECAR,AddDelta,0.25,1000000,6,131.5
6665,EAR,AddDelta,0.5,100,8,0.044758000000000006
6666,ENAR,MissingValueNumeric,0.75,100000,2,23.081
6667,ENAR,AddDelta,0.9,1000,10,0.34793
6668,ENAR,MissingValueNumeric,0.1,1000000,6,178.743
6669,EAR,MissingValueNumeric,0.1,10000,6,2.941
6670,EAR,AddDelta,0.1,1000,8,0.36368
6671,ECAR,MissingValueNumeric,0.1,1000000,4,90.252
6672,ENAR,MissingValueNumeric,0.25,100,10,0.021422
6673,ENAR,AddDelta,0.9,100,10,0.023727
6674,ENAR,MissingValueNumeric,0.75,1000,8,0.293883
6675,ENAR,MissingValueNumeric,0.1,10000,8,2.028
6676,EAR,MissingValueNumeric,0.1,100,8,0.039227
6677,ECAR,AddDelta,0.1,100,6,0.010797000000000001
6678,ENAR,MissingValueNumeric,0.1,100,4,0.016617
6679,ENAR,MissingValueNumeric,0.9,100000,4,26.527
6680,ECAR,MissingValueNumeric,0.25,100000,10,15.079
6681,EAR,MissingValueNumeric,0.1,100000,6,28.246
6682,ENAR,MissingValueNumeric,0.5,100000,4,20.911
6683,ECAR,AddDelta,0.1,100,4,0.010266
6684,EAR,MissingValueNumeric,0.1,10000,8,3.433
6685,ENAR,AddDelta,0.75,10000,10,3.278
6686,ECAR,AddDelta,0.75,1000,6,0.169578
6687,EAR,MissingValueNumeric,0.5,10000,10,4.83
6688,ECAR,AddDelta,0.5,1000000,6,143.659
6689,EAR,AddDelta,0.25,100000,10,42.7
6690,ECAR,AddDelta,0.5,100,10,0.014452999999999999
6691,ENAR,MissingValueNumeric,0.5,100000,6,22.629
6692,ECAR,MissingValueNumeric,0.75,1000000,4,122.916
6693,ECAR,MissingValueNumeric,0.75,100000,8,15.985
6694,ENAR,MissingValueNumeric,0.75,100,4,0.017719000000000002
6695,EAR,MissingValueNumeric,0.25,100000,6,30.778
6696,ECAR,AddDelta,0.5,1000,2,0.12076600000000001
6697,ENAR,AddDelta,0.1,100,10,0.022711
6698,EAR,AddDelta,0.9,100000,8,53.514
6699,ECAR,AddDelta,0.25,100000,8,14.985
6700,ECAR,MissingValueNumeric,0.9,100000,2,11.622
6701,ENAR,MissingValueNumeric,0.25,100000,4,18.026
6702,EAR,MissingValueNumeric,0.25,100000,4,25.628
6703,ECAR,MissingValueNumeric,0.25,1000,6,0.121516
6704,ENAR,MissingValueNumeric,0.1,1000000,10,213.075
6705,EAR,AddDelta,0.5,10000,4,3.335
6706,ENAR,AddDelta,0.5,100,10,0.022711
6707,EAR,MissingValueNumeric,0.5,100,6,0.036367
6708,ECAR,MissingValueNumeric,0.75,1000,8,0.17096899999999998
6709,ECAR,MissingValueNumeric,0.75,1000,8,0.17043799999999998
6710,EAR,AddDelta,0.1,10000,4,2.612
6711,EAR,MissingValueNumeric,0.75,100,2,0.027109
6712,EAR,MissingValueNumeric,0.1,10000,8,3.433
6713,EAR,MissingValueNumeric,0.5,10000,8,4.277
6714,ECAR,AddDelta,0.1,10000,10,1.586
6715,ECAR,MissingValueNumeric,0.25,100000,10,15.079
6716,EAR,AddDelta,0.5,1000000,10,499.448
6717,ECAR,MissingValueNumeric,0.9,100000,10,18.488
6718,ECAR,AddDelta,0.9,1000,8,0.203359
6719,ENAR,AddDelta,0.9,1000,8,0.329352
6720,EAR,AddDelta,0.9,100000,2,35.089
6721,ENAR,MissingValueNumeric,0.1,1000000,6,178.744
6722,ECAR,AddDelta,0.75,1000,8,0.18715600000000002
6723,ENAR,MissingValueNumeric,0.25,1000,6,0.213805
6724,EAR,MissingValueNumeric,0.9,100000,2,33.467
6725,ECAR,AddDelta,0.5,1000,6,0.15590600000000002
6726,EAR,AddDelta,0.5,100000,8,42.151
6727,EAR,AddDelta,0.75,100000,2,31.015
6728,ENAR,AddDelta,0.1,100000,2,16.201
6729,ECAR,MissingValueNumeric,0.25,1000,4,0.104938
6730,ECAR,MissingValueNumeric,0.5,10000,8,1.545
6731,ECAR,MissingValueNumeric,0.9,100,10,0.013828
6732,ECAR,AddDelta,0.5,1000000,4,126.493
6733,ECAR,AddDelta,0.75,1000000,4,139.129
6734,EAR,AddDelta,0.1,1000,6,0.313242
6735,ENAR,MissingValueNumeric,0.9,100000,4,26.527
6736,ENAR,AddDelta,0.75,1000,10,0.32818
6737,ECAR,AddDelta,0.9,1000,8,0.203359
6738,EAR,MissingValueNumeric,0.1,10000,10,3.925
6739,EAR,MissingValueNumeric,0.1,1000,10,0.39739800000000003
6740,ENAR,MissingValueNumeric,0.75,100000,2,23.08
6741,EAR,MissingValueNumeric,0.9,1000000,2,341.388
6742,EAR,MissingValueNumeric,0.5,10000,10,4.83
6743,ECAR,MissingValueNumeric,0.5,10000,2,1.03
6744,ECAR,MissingValueNumeric,0.1,100000,6,10.86
6745,ECAR,AddDelta,0.1,100,4,0.009266
6746,ECAR,AddDelta,0.5,1000,4,0.138359
6747,ENAR,MissingValueNumeric,0.1,100000,8,19.729
6748,ECAR,MissingValueNumeric,0.5,1000000,4,110.279
6749,ECAR,MissingValueNumeric,0.1,1000000,4,90.253
6750,ENAR,AddDelta,0.5,100,2,0.016461
6751,ECAR,MissingValueNumeric,0.9,1000000,2,113.331
6752,ECAR,MissingValueNumeric,0.1,10000,4,0.929938
6753,ENAR,MissingValueNumeric,0.1,1000000,8,195.91
6754,ENAR,AddDelta,0.5,100000,10,27.683
6755,ENAR,AddDelta,0.5,1000,10,0.29693
6756,EAR,MissingValueNumeric,0.9,1000,6,0.45121100000000003
6757,EAR,MissingValueNumeric,0.75,100000,8,47.131
6758,EAR,AddDelta,0.9,100,2,0.029335999999999997
6759,ENAR,AddDelta,0.25,100,6,0.019391
6760,ENAR,AddDelta,0.9,100,2,0.017477
6761,ENAR,MissingValueNumeric,0.1,100,8,0.020523
6762,ENAR,MissingValueNumeric,0.25,1000000,8,218.218
6763,ECAR,AddDelta,0.25,100,2,0.0076879999999999995
6764,ENAR,AddDelta,0.5,100,2,0.016461
6765,ENAR,MissingValueNumeric,0.75,1000,4,0.258727
6766,EAR,MissingValueNumeric,0.75,10000,6,4.203
6767,EAR,MissingValueNumeric,0.9,10000,6,4.474
6768,ECAR,AddDelta,0.9,10000,8,2.006
6769,ENAR,AddDelta,0.1,1000,8,0.218414
6770,ECAR,AddDelta,0.25,100,8,0.012359
6771,ECAR,AddDelta,0.75,100000,10,19.324
6772,ECAR,AddDelta,0.1,1000000,2,89.301
6773,ENAR,AddDelta,0.25,1000,10,0.26568
6774,ENAR,MissingValueNumeric,0.75,100000,4,24.796
6775,ENAR,AddDelta,0.25,1000000,10,252.598
6776,EAR,MissingValueNumeric,0.9,100000,10,58.033
6777,ECAR,MissingValueNumeric,0.5,1000000,8,144.612
6778,ECAR,AddDelta,0.1,1000,10,0.156719
6779,ECAR,MissingValueNumeric,0.5,100,6,0.009703
6780,ECAR,MissingValueNumeric,0.1,1000000,2,73.086
6781,ENAR,MissingValueNumeric,0.1,100000,2,14.579
6782,ECAR,MissingValueNumeric,0.9,1000000,6,147.663
6783,EAR,AddDelta,0.9,100000,6,47.372
6784,ECAR,AddDelta,0.25,100,10,0.013922
6785,ECAR,MissingValueNumeric,0.5,1000000,2,93.113
6786,EAR,MissingValueNumeric,0.1,100000,10,38.088
6787,ENAR,AddDelta,0.1,100000,2,16.201
6788,ECAR,MissingValueNumeric,0.1,10000,10,1.424
6789,ENAR,MissingValueNumeric,0.1,1000000,2,144.411
6790,ENAR,MissingValueNumeric,0.5,100000,10,26.061
6791,ENAR,MissingValueNumeric,0.1,100000,4,16.295
6792,ENAR,MissingValueNumeric,0.5,1000000,6,235.516
6793,EAR,AddDelta,0.9,1000,8,0.530867
6794,ENAR,MissingValueNumeric,0.75,10000,6,2.771
6795,ECAR,MissingValueNumeric,0.5,1000000,10,161.778
6796,ECAR,AddDelta,0.75,1000,8,0.18715600000000002
6797,EAR,AddDelta,0.75,10000,4,3.775
6798,ECAR,MissingValueNumeric,0.9,100000,8,16.772
6799,ENAR,AddDelta,0.75,100,10,0.0235
6800,ENAR,MissingValueNumeric,0.25,1000000,6,201.053
6801,ECAR,AddDelta,0.1,100000,2,9.049
6802,EAR,AddDelta,0.75,100,4,0.034109
6803,EAR,AddDelta,0.75,10000,8,4.957
6804,ENAR,AddDelta,0.25,100,4,0.017828
6805,EAR,MissingValueNumeric,0.75,100,6,0.038922
6806,ECAR,MissingValueNumeric,0.1,1000000,2,73.086
6807,EAR,AddDelta,0.9,100,2,0.028773
6808,ENAR,AddDelta,0.75,1000000,10,322.719
6809,EAR,MissingValueNumeric,0.5,10000,4,3.17
6810,ECAR,AddDelta,0.25,10000,6,1.355
6811,EAR,AddDelta,0.75,100,4,0.034109
6812,ENAR,AddDelta,0.5,10000,8,2.76
6813,ENAR,AddDelta,0.5,100,10,0.023711
6814,ENAR,AddDelta,0.1,100000,4,17.918
6815,ECAR,MissingValueNumeric,0.9,100000,8,16.773
6816,EAR,MissingValueNumeric,0.75,100000,2,29.393
6817,ECAR,AddDelta,0.25,1000000,10,165.832
6818,ENAR,MissingValueNumeric,0.75,1000,10,0.311461
6819,EAR,AddDelta,0.1,100000,4,24.947
6820,ECAR,AddDelta,0.75,100,8,0.013891
6821,ENAR,AddDelta,0.1,100,10,0.022711
6822,ECAR,AddDelta,0.75,100000,8,17.607
6823,ENAR,AddDelta,0.75,10000,2,2.591
6824,EAR,MissingValueNumeric,0.9,1000,8,0.515148
6825,ENAR,AddDelta,0.9,1000000,8,326.147
6826,EAR,AddDelta,0.75,10000,2,3.183
6827,ECAR,MissingValueNumeric,0.9,100,8,0.012266
6828,ECAR,MissingValueNumeric,0.25,100000,8,13.362
6829,EAR,AddDelta,0.1,1000,4,0.262805
6830,ENAR,AddDelta,0.9,10000,8,3.297
6831,ENAR,AddDelta,0.9,1000000,6,308.98
6832,ENAR,AddDelta,0.9,100,2,0.017477
