,mechanism,type,rate,nrow,ncol,total_memory_MB
167,EAR,AddDelta,0.5,1000000,4,333.509
168,ECAR,MissingValueNumeric,0.9,10000,4,1.5
169,ECAR,MissingValueNumeric,0.75,10000,4,1.415
170,ECAR,AddDelta,0.1,1000000,4,106.466
171,ENAR,AddDelta,0.5,1000000,6,252.73
172,ECAR,AddDelta,0.5,100000,10,18.012
173,EAR,AddDelta,0.9,10000,8,5.251
174,EAR,AddDelta,0.1,100000,10,39.71
175,EAR,MissingValueNumeric,0.1,1000,4,0.246086
176,ECAR,AddDelta,0.9,10000,10,2.178
177,ECAR,MissingValueNumeric,0.9,1000000,6,147.663
178,ENAR,MissingValueNumeric,0.5,10000,6,2.426
179,ENAR,MissingValueNumeric,0.75,1000,4,0.258727
180,EAR,MissingValueNumeric,0.5,100000,6,34.998
181,EAR,AddDelta,0.1,10000,6,3.104
182,ENAR,AddDelta,0.5,1000000,4,235.564
183,ENAR,AddDelta,0.9,10000,8,3.297
184,ENAR,AddDelta,0.25,100000,6,21.366
185,EAR,AddDelta,0.75,1000,8,0.50157
186,EAR,MissingValueNumeric,0.75,1000000,4,370.488
187,EAR,MissingValueNumeric,0.1,1000,6,0.29752300000000004
188,ECAR,AddDelta,0.25,1000000,2,97.167
189,ECAR,MissingValueNumeric,0.1,100000,2,7.426
190,EAR,AddDelta,0.25,100000,4,27.25
191,EAR,AddDelta,0.1,10000,4,2.613
192,EAR,AddDelta,0.5,100,2,0.025648
193,EAR,MissingValueNumeric,0.75,1000000,6,429.616
194,EAR,MissingValueNumeric,0.1,100000,2,18.404
195,ECAR,AddDelta,0.1,100,8,0.013359
196,EAR,AddDelta,0.25,10000,2,2.378
197,ECAR,MissingValueNumeric,0.9,1000,2,0.133906
198,EAR,AddDelta,0.9,1000,10,0.5938049999999999
199,ENAR,AddDelta,0.75,1000000,10,322.719
200,ENAR,MissingValueNumeric,0.25,100000,4,18.027
201,EAR,MissingValueNumeric,0.5,100,2,0.025555
202,ENAR,AddDelta,0.25,10000,8,2.415
203,ENAR,AddDelta,0.75,1000,2,0.257867
204,ECAR,AddDelta,0.75,1000000,4,139.129
205,ECAR,AddDelta,0.5,100000,4,12.863
206,ECAR,AddDelta,0.25,1000,8,0.155812
207,ECAR,MissingValueNumeric,0.9,100000,4,13.339
208,ECAR,MissingValueNumeric,0.75,100000,10,17.702
209,ENAR,MissingValueNumeric,0.75,1000000,4,254.008
210,EAR,AddDelta,0.75,100,6,0.040015999999999996
211,ECAR,AddDelta,0.25,1000,6,0.138234
212,ECAR,MissingValueNumeric,0.1,1000000,6,107.418
213,ECAR,MissingValueNumeric,0.9,100,8,0.012266
214,ECAR,AddDelta,0.9,1000000,4,146.711
215,ENAR,MissingValueNumeric,0.25,100,10,0.021422
216,ENAR,MissingValueNumeric,0.25,100,2,0.015367
217,ENAR,AddDelta,0.5,100000,8,25.967
218,ENAR,AddDelta,0.1,100000,10,23.067
219,ECAR,AddDelta,0.75,100,4,0.010266
220,EAR,AddDelta,0.75,1000000,4,386.702
221,ECAR,MissingValueNumeric,0.5,1000,2,0.10403100000000001
222,EAR,MissingValueNumeric,0.5,1000,10,0.492711
223,ENAR,MissingValueNumeric,0.1,10000,6,1.856
224,ECAR,MissingValueNumeric,0.9,1000,4,0.151484
225,EAR,MissingValueNumeric,0.9,1000000,8,525.638
226,ECAR,MissingValueNumeric,0.1,1000,10,0.14
227,EAR,MissingValueNumeric,0.1,1000,2,0.195648
228,EAR,MissingValueNumeric,0.25,10000,6,3.245
229,EAR,MissingValueNumeric,0.9,10000,2,3.245
230,ENAR,MissingValueNumeric,0.75,1000,8,0.293883
231,ENAR,AddDelta,0.9,10000,4,2.953
232,EAR,AddDelta,0.25,10000,8,3.923
233,ENAR,AddDelta,0.1,100000,6,19.634
234,ECAR,MissingValueNumeric,0.25,100000,10,15.079
235,ENAR,AddDelta,0.75,100,10,0.0235
236,ENAR,AddDelta,0.75,1000,4,0.275445
237,ECAR,AddDelta,0.25,1000000,6,131.5
238,EAR,MissingValueNumeric,0.25,100,2,0.025359000000000003
239,ECAR,MissingValueNumeric,0.25,1000000,6,115.286
240,ECAR,AddDelta,0.75,100000,2,12.457
241,ECAR,MissingValueNumeric,0.5,10000,2,1.03
242,EAR,MissingValueNumeric,0.1,100000,6,28.246
243,EAR,MissingValueNumeric,0.75,100,6,0.038922
244,ENAR,AddDelta,0.25,10000,8,2.415
245,ECAR,AddDelta,0.1,10000,4,1.071
246,EAR,MissingValueNumeric,0.1,100000,6,28.246
247,EAR,AddDelta,0.5,10000,6,3.887
248,ECAR,MissingValueNumeric,0.9,100000,10,18.488
249,EAR,MissingValueNumeric,0.9,100,4,0.03382
250,ECAR,AddDelta,0.25,100,8,0.012359
251,ECAR,MissingValueNumeric,0.75,10000,10,1.93
252,ECAR,MissingValueNumeric,0.9,10000,6,1.671
253,ECAR,AddDelta,0.5,10000,10,1.88
254,ECAR,AddDelta,0.5,10000,6,1.537
255,ECAR,MissingValueNumeric,0.25,10000,6,1.192
256,ECAR,AddDelta,0.75,1000,6,0.169578
257,ENAR,MissingValueNumeric,0.1,10000,8,2.028
258,ECAR,AddDelta,0.5,100,2,0.0076879999999999995
259,ENAR,AddDelta,0.75,100,6,0.020960999999999997
260,ENAR,AddDelta,0.9,1000,2,0.27718
261,ENAR,AddDelta,0.1,100,6,0.019273
262,EAR,MissingValueNumeric,0.5,100000,4,29.466
263,ECAR,AddDelta,0.25,1000000,8,148.666
264,ECAR,MissingValueNumeric,0.75,1000000,10,174.415
265,ENAR,AddDelta,0.5,100,4,0.018414
266,EAR,AddDelta,0.9,100000,6,47.372
267,ENAR,AddDelta,0.1,100,6,0.019273
268,ENAR,AddDelta,0.5,100,6,0.019586
269,ENAR,AddDelta,0.5,100,8,0.021929999999999998
270,EAR,AddDelta,0.75,100,8,0.046703
271,EAR,MissingValueNumeric,0.9,1000000,6,464.221
272,EAR,AddDelta,0.25,1000000,2,230.009
273,ECAR,MissingValueNumeric,0.9,10000,2,1.329
274,ECAR,MissingValueNumeric,0.25,10000,8,1.364
275,ECAR,MissingValueNumeric,0.1,100000,6,10.859
276,EAR,MissingValueNumeric,0.5,10000,8,4.277
277,ECAR,MissingValueNumeric,0.5,1000000,4,110.279
278,ENAR,AddDelta,0.75,10000,8,3.106
279,EAR,AddDelta,0.25,1000000,2,230.01
280,ENAR,AddDelta,0.25,100,6,0.019391
281,ECAR,AddDelta,0.75,10000,6,1.75
282,ENAR,AddDelta,0.75,100000,10,31.568
283,ECAR,MissingValueNumeric,0.1,100000,4,9.142
284,ECAR,AddDelta,0.1,1000000,8,140.798
285,EAR,AddDelta,0.5,100,6,0.037461
286,ECAR,MissingValueNumeric,0.9,10000,8,1.843
287,ENAR,MissingValueNumeric,0.25,100,8,0.020641
288,EAR,AddDelta,0.5,100,2,0.025648
289,EAR,MissingValueNumeric,0.5,1000000,10,483.236
290,ENAR,MissingValueNumeric,0.75,10000,8,2.943
291,EAR,AddDelta,0.75,10000,8,4.957
292,ENAR,MissingValueNumeric,0.25,1000000,4,183.886
293,EAR,AddDelta,0.9,100000,6,47.372
294,ENAR,AddDelta,0.5,1000000,4,235.564
295,ENAR,MissingValueNumeric,0.1,1000000,8,195.909
296,ECAR,MissingValueNumeric,0.75,1000,2,0.118703
297,EAR,MissingValueNumeric,0.9,1000000,2,341.389
298,ENAR,AddDelta,0.75,10000,8,3.106
299,ENAR,AddDelta,0.5,100,6,0.020586
300,ENAR,MissingValueNumeric,0.25,1000000,4,183.887
301,ENAR,MissingValueNumeric,0.5,1000,8,0.262633
302,EAR,MissingValueNumeric,0.75,100,2,0.027109
303,EAR,AddDelta,0.25,10000,6,3.408
304,ENAR,MissingValueNumeric,0.75,100,10,0.022406
305,EAR,MissingValueNumeric,0.9,10000,2,3.246
306,ENAR,AddDelta,0.5,10000,2,2.246
307,ECAR,MissingValueNumeric,0.25,10000,4,1.022
308,ECAR,MissingValueNumeric,0.5,1000,4,0.121609
309,ENAR,MissingValueNumeric,0.25,1000,2,0.178648
310,ENAR,MissingValueNumeric,0.25,100,4,0.016734000000000002
311,ECAR,AddDelta,0.1,1000,4,0.10401600000000001
312,ECAR,MissingValueNumeric,0.9,1000,4,0.151484
313,ECAR,AddDelta,0.9,1000000,2,129.546
314,EAR,MissingValueNumeric,0.9,10000,2,3.245
315,ECAR,AddDelta,0.1,1000,8,0.139703
316,ENAR,MissingValueNumeric,0.25,100,2,0.015367
317,EAR,AddDelta,0.5,1000,6,0.396055
318,ENAR,AddDelta,0.9,1000000,6,308.98
319,EAR,AddDelta,0.25,1000000,10,436.003
320,ECAR,MissingValueNumeric,0.75,100000,2,10.835
321,ECAR,MissingValueNumeric,0.9,1000000,4,130.497
322,ENAR,AddDelta,0.1,1000,6,0.20083600000000001
323,ENAR,AddDelta,0.1,10000,8,2.191
324,ENAR,AddDelta,0.75,10000,8,3.106
325,ECAR,MissingValueNumeric,0.25,1000,10,0.156672
326,EAR,AddDelta,0.25,100000,4,27.25
327,ENAR,AddDelta,0.9,100000,2,27.433
328,EAR,AddDelta,0.9,10000,2,3.408
329,EAR,MissingValueNumeric,0.1,100000,2,18.404
330,ECAR,MissingValueNumeric,0.9,1000000,4,130.498
331,ENAR,MissingValueNumeric,0.25,100,2,0.015367
332,EAR,MissingValueNumeric,0.1,1000,6,0.29652300000000004
333,EAR,AddDelta,0.1,1000,6,0.313242
334,ENAR,AddDelta,0.75,1000,2,0.257867
335,EAR,MissingValueNumeric,0.25,1000000,10,419.789
336,ECAR,MissingValueNumeric,0.5,100000,10,16.39
337,EAR,AddDelta,0.25,100,2,0.025453
338,ENAR,AddDelta,0.5,1000,10,0.29793000000000003
339,ECAR,MissingValueNumeric,0.75,100,6,0.011703
340,ENAR,AddDelta,0.1,10000,6,2.019
341,ECAR,AddDelta,0.75,100000,8,17.607
342,ECAR,MissingValueNumeric,0.75,1000,6,0.15285900000000002
343,EAR,AddDelta,0.9,1000,8,0.530867
344,ENAR,AddDelta,0.75,100000,8,29.851
345,ENAR,MissingValueNumeric,0.25,1000,8,0.231383
346,ENAR,AddDelta,0.75,1000000,4,271.22
347,ECAR,AddDelta,0.9,1000000,8,181.043
348,EAR,AddDelta,0.9,100000,2,35.089
349,EAR,AddDelta,0.75,1000,8,0.50157
350,ECAR,MissingValueNumeric,0.9,100000,8,16.772
351,ECAR,MissingValueNumeric,0.75,100000,10,17.701
352,ECAR,AddDelta,0.75,1000000,8,173.461
353,ENAR,AddDelta,0.25,10000,10,2.587
354,EAR,AddDelta,0.9,1000000,6,480.435
355,ECAR,MissingValueNumeric,0.75,1000,10,0.188016
356,ECAR,MissingValueNumeric,0.9,100,6,0.010702999999999999
357,ENAR,AddDelta,0.5,10000,6,2.589
358,ECAR,AddDelta,0.1,100,4,0.009266
359,EAR,MissingValueNumeric,0.1,1000,4,0.246086
360,EAR,AddDelta,0.25,1000000,10,436.003
361,ECAR,AddDelta,0.5,100,4,0.009266
362,EAR,AddDelta,0.5,100000,4,31.09
363,EAR,AddDelta,0.1,10000,6,3.104
364,ENAR,MissingValueNumeric,0.75,1000000,2,236.841
365,ENAR,AddDelta,0.75,1000,10,0.32818
366,ENAR,MissingValueNumeric,0.25,1000000,4,183.886
367,ENAR,MissingValueNumeric,0.1,1000000,2,144.411
368,ECAR,MissingValueNumeric,0.1,10000,8,1.251
369,ENAR,MissingValueNumeric,0.9,10000,6,2.962
370,EAR,AddDelta,0.75,10000,10,5.549
371,EAR,MissingValueNumeric,0.5,1000,2,0.265961
372,ENAR,AddDelta,0.9,10000,2,2.782
373,ECAR,AddDelta,0.75,10000,4,1.578
374,EAR,MissingValueNumeric,0.9,100,10,0.052242
375,ECAR,AddDelta,0.5,10000,4,1.366
376,ECAR,MissingValueNumeric,0.5,100,8,0.011266
377,ECAR,AddDelta,0.1,100,10,0.013922
378,EAR,MissingValueNumeric,0.5,100,8,0.043664
379,ENAR,AddDelta,0.75,100000,2,25.702
380,ENAR,AddDelta,0.5,100,2,0.016461
381,EAR,MissingValueNumeric,0.25,10000,8,3.759
382,ENAR,MissingValueNumeric,0.75,100,8,0.021625
383,ENAR,MissingValueNumeric,0.75,100000,4,24.796
384,EAR,MissingValueNumeric,0.25,1000,8,0.387195
385,ECAR,MissingValueNumeric,0.25,100000,4,9.929
386,ECAR,AddDelta,0.1,100000,10,15.914
387,ENAR,MissingValueNumeric,0.75,1000,6,0.276305
388,EAR,MissingValueNumeric,0.25,10000,4,2.729
389,ENAR,MissingValueNumeric,0.9,100,8,0.021852
390,EAR,AddDelta,0.5,10000,2,2.78
391,ECAR,MissingValueNumeric,0.9,10000,2,1.328
392,ENAR,AddDelta,0.9,1000000,6,308.98
