,mechanism,type,rate,nrow,ncol,seconds_runtime
220,EAR,AddDelta,0.25,10000,2,0.0109074115753173
221,EAR,AddDelta,0.25,10000,2,0.0090804100036621
222,EAR,AddDelta,0.25,10000,2,0.008695363998413
223,EAR,AddDelta,0.25,10000,2,0.0083827972412109
224,EAR,AddDelta,0.25,10000,2,0.0085992813110351
225,EAR,AddDelta,0.25,10000,2,0.0096960067749023
226,EAR,AddDelta,0.25,10000,2,0.0083296298980712
227,EAR,AddDelta,0.25,10000,2,0.0082712173461914
228,EAR,AddDelta,0.25,10000,2,0.008298635482788
229,EAR,AddDelta,0.25,10000,2,0.0085787773132324
230,EAR,AddDelta,0.25,100000,10,0.0971071720123291
231,EAR,AddDelta,0.25,100000,10,0.0896112918853759
232,EAR,AddDelta,0.25,100000,10,0.0831303596496582
233,EAR,AddDelta,0.25,100000,10,0.0826227664947509
234,EAR,AddDelta,0.25,100000,10,0.0790023803710937
235,EAR,AddDelta,0.25,100000,10,0.08416748046875
236,EAR,AddDelta,0.25,100000,10,0.0815567970275878
237,EAR,AddDelta,0.25,100000,10,0.0916273593902587
238,EAR,AddDelta,0.25,100000,10,0.0878269672393798
239,EAR,AddDelta,0.25,100000,10,0.0887768268585205
240,EAR,AddDelta,0.5,10000,2,0.0109670162200927
241,EAR,AddDelta,0.5,10000,2,0.0088667869567871
242,EAR,AddDelta,0.5,10000,2,0.0094130039215087
243,EAR,AddDelta,0.5,10000,2,0.0091519355773925
244,EAR,AddDelta,0.5,10000,2,0.0091698169708251
245,EAR,AddDelta,0.5,10000,2,0.0094926357269287
246,EAR,AddDelta,0.5,10000,2,0.0093662738800048
247,EAR,AddDelta,0.5,10000,2,0.0092904567718505
248,EAR,AddDelta,0.5,10000,2,0.0092854499816894
249,EAR,AddDelta,0.5,10000,2,0.0085842609405517
250,EAR,AddDelta,0.5,100000,10,0.0985450744628906
251,EAR,AddDelta,0.5,100000,10,0.1005976200103759
252,EAR,AddDelta,0.5,100000,10,0.0946340560913086
253,EAR,AddDelta,0.5,100000,10,0.0949974060058593
254,EAR,AddDelta,0.5,100000,10,0.0948047637939453
255,EAR,AddDelta,0.5,100000,10,0.1003446578979492
256,EAR,AddDelta,0.5,100000,10,0.0970401763916015
257,EAR,AddDelta,0.5,100000,10,0.0966084003448486
258,EAR,AddDelta,0.5,100000,10,0.094552993774414
259,EAR,AddDelta,0.5,100000,10,0.0910558700561523
260,EAR,AddDelta,0.75,100000,10,0.1142122745513916
261,EAR,AddDelta,0.75,100000,10,0.1062891483306884
262,EAR,AddDelta,0.75,100000,10,0.1094827651977539
263,EAR,AddDelta,0.75,100000,10,0.1151206493377685
264,EAR,AddDelta,0.75,100000,10,0.116060733795166
265,EAR,AddDelta,0.75,100000,10,0.1094167232513427
266,EAR,AddDelta,0.75,100000,10,0.1041007041931152
267,EAR,AddDelta,0.75,100000,10,0.1057453155517578
268,EAR,AddDelta,0.75,100000,10,0.1059534549713134
269,EAR,AddDelta,0.75,100000,10,0.1064801216125488
270,EAR,AddDelta,0.75,10000,2,0.0115153789520263
271,EAR,AddDelta,0.75,10000,2,0.0101294517517089
272,EAR,AddDelta,0.75,10000,2,0.009709358215332
273,EAR,AddDelta,0.75,10000,2,0.0098359584808349
274,EAR,AddDelta,0.75,10000,2,0.0099794864654541
275,EAR,AddDelta,0.75,10000,2,0.009916067123413
276,EAR,AddDelta,0.75,10000,2,0.0100419521331787
277,EAR,AddDelta,0.75,10000,2,0.0101332664489746
278,EAR,AddDelta,0.75,10000,2,0.0099923610687255
279,EAR,AddDelta,0.75,10000,2,0.0098717212677001
280,EAR,AddDelta,0.9,10000,2,0.0113158226013183
281,EAR,AddDelta,0.9,10000,2,0.0103075504302978
282,EAR,AddDelta,0.9,10000,2,0.0102601051330566
283,EAR,AddDelta,0.9,10000,2,0.0100219249725341
284,EAR,AddDelta,0.9,10000,2,0.0100371837615966
285,EAR,AddDelta,0.9,10000,2,0.0098094940185546
286,EAR,AddDelta,0.9,10000,2,0.0112855434417724
287,EAR,AddDelta,0.9,10000,2,0.0098974704742431
288,EAR,AddDelta,0.9,10000,2,0.0101552009582519
289,EAR,AddDelta,0.9,10000,2,0.0098938941955566
290,EAR,AddDelta,0.1,10000,4,0.0090453624725341
291,EAR,AddDelta,0.1,10000,4,0.0076410770416259
292,EAR,AddDelta,0.1,10000,4,0.0076127052307128
293,EAR,AddDelta,0.1,10000,4,0.0071749687194824
294,EAR,AddDelta,0.1,10000,4,0.007206916809082
295,EAR,AddDelta,0.1,10000,4,0.0076572895050048
296,EAR,AddDelta,0.1,10000,4,0.0075678825378417
297,EAR,AddDelta,0.1,10000,4,0.0076146125793457
298,EAR,AddDelta,0.1,10000,4,0.007606029510498
299,EAR,AddDelta,0.1,10000,4,0.0075914859771728
300,EAR,AddDelta,0.9,100000,10,0.1222639083862304
301,EAR,AddDelta,0.9,100000,10,0.124669075012207
302,EAR,AddDelta,0.9,100000,10,0.1292109489440918
303,EAR,AddDelta,0.9,100000,10,0.1277480125427246
304,EAR,AddDelta,0.9,100000,10,0.1265900135040283
305,EAR,AddDelta,0.9,100000,10,0.1190106868743896
306,EAR,AddDelta,0.9,100000,10,0.1157371997833252
307,EAR,AddDelta,0.9,100000,10,0.1208033561706543
308,EAR,AddDelta,0.9,100000,10,0.117687702178955
309,EAR,AddDelta,0.9,100000,10,0.1268069744110107
310,EAR,AddDelta,0.25,10000,4,0.0107557773590087
311,EAR,AddDelta,0.25,10000,4,0.0090899467468261
312,EAR,AddDelta,0.25,10000,4,0.0089948177337646
313,EAR,AddDelta,0.25,10000,4,0.0088984966278076
314,EAR,AddDelta,0.25,10000,4,0.0091023445129394
315,EAR,AddDelta,0.25,10000,4,0.0088336467742919
316,EAR,AddDelta,0.25,10000,4,0.0088100433349609
317,EAR,AddDelta,0.25,10000,4,0.0088257789611816
318,EAR,AddDelta,0.25,10000,4,0.008193016052246
319,EAR,AddDelta,0.25,10000,4,0.008331298828125
320,EAR,AddDelta,0.5,10000,4,0.0110692977905273
321,EAR,AddDelta,0.5,10000,4,0.0095744132995605
322,EAR,AddDelta,0.5,10000,4,0.0093445777893066
323,EAR,AddDelta,0.5,10000,4,0.0094599723815917
324,EAR,AddDelta,0.5,10000,4,0.0094220638275146
325,EAR,AddDelta,0.5,10000,4,0.0094599723815917
326,EAR,AddDelta,0.5,10000,4,0.009667158126831
327,EAR,AddDelta,0.5,10000,4,0.0096118450164794
328,EAR,AddDelta,0.5,10000,4,0.0097994804382324
329,EAR,AddDelta,0.5,10000,4,0.0098388195037841
330,EAR,AddDelta,0.75,10000,4,0.0116682052612304
331,EAR,AddDelta,0.75,10000,4,0.0097134113311767
332,EAR,AddDelta,0.75,10000,4,0.0098078250885009
333,EAR,AddDelta,0.75,10000,4,0.010228157043457
334,EAR,AddDelta,0.75,10000,4,0.0101799964904785
335,EAR,AddDelta,0.75,10000,4,0.0101869106292724
336,EAR,AddDelta,0.75,10000,4,0.0098068714141845
337,EAR,AddDelta,0.75,10000,4,0.0099263191223144
338,EAR,AddDelta,0.75,10000,4,0.0103590488433837
339,EAR,AddDelta,0.75,10000,4,0.0100095272064208
340,EAR,AddDelta,0.9,10000,4,0.0127644538879394
341,EAR,AddDelta,0.9,10000,4,0.0101983547210693
342,EAR,AddDelta,0.9,10000,4,0.0100634098052978
343,EAR,AddDelta,0.9,10000,4,0.0099556446075439
344,EAR,AddDelta,0.9,10000,4,0.0097677707672119
345,EAR,AddDelta,0.9,10000,4,0.009737491607666
346,EAR,AddDelta,0.9,10000,4,0.010028600692749
347,EAR,AddDelta,0.9,10000,4,0.0098962783813476
348,EAR,AddDelta,0.9,10000,4,0.0097196102142333
349,EAR,AddDelta,0.9,10000,4,0.0097033977508544
350,EAR,AddDelta,0.1,10000,6,0.0095891952514648
351,EAR,AddDelta,0.1,10000,6,0.0086770057678222
352,EAR,AddDelta,0.1,10000,6,0.0086517333984375
353,EAR,AddDelta,0.1,10000,6,0.0085992813110351
354,EAR,AddDelta,0.1,10000,6,0.0086698532104492
355,EAR,AddDelta,0.1,10000,6,0.0086686611175537
356,EAR,AddDelta,0.1,10000,6,0.0086128711700439
357,EAR,AddDelta,0.1,10000,6,0.0086658000946044
358,EAR,AddDelta,0.1,10000,6,0.0087387561798095
359,EAR,AddDelta,0.1,10000,6,0.0085968971252441
360,EAR,AddDelta,0.25,10000,6,0.0113234519958496
361,EAR,AddDelta,0.25,10000,6,0.0084621906280517
362,EAR,AddDelta,0.25,10000,6,0.0082030296325683
363,EAR,AddDelta,0.25,10000,6,0.0080478191375732
364,EAR,AddDelta,0.25,10000,6,0.0077028274536132
365,EAR,AddDelta,0.25,10000,6,0.0079538822174072
366,EAR,AddDelta,0.25,10000,6,0.0079896450042724
367,EAR,AddDelta,0.25,10000,6,0.0079507827758789
368,EAR,AddDelta,0.25,10000,6,0.0081300735473632
369,EAR,AddDelta,0.25,10000,6,0.0086345672607421
370,EAR,AddDelta,0.5,10000,6,0.0125563144683837
371,EAR,AddDelta,0.5,10000,6,0.0124521255493164
372,EAR,AddDelta,0.5,10000,6,0.0127651691436767
373,EAR,AddDelta,0.5,10000,6,0.0126552581787109
374,EAR,AddDelta,0.5,10000,6,0.0105757713317871
375,EAR,AddDelta,0.5,10000,6,0.0096340179443359
376,EAR,AddDelta,0.5,10000,6,0.0096471309661865
377,EAR,AddDelta,0.5,10000,6,0.0096333026885986
378,EAR,AddDelta,0.5,10000,6,0.0096712112426757
